MP ID,Material,LO Frequency,,,TO Frequency,,,Number,Reference,Secondary Reference/Notes
32,Ge,230,,,278,,,2,,
48,Graphite,1583.4,,,1412.9,,,74,"R.M.Niclow, N.Wakabayashi, H.G.Smith, Phys.Rev. B 5, 4951 (1972)","K.K.Mani and R.Ramani, Phys.stat.solidi (b) 61, 659 (1974)"
117,Sn,200,,,200,,,21,10.1002/pssb.2220720125,
149,Si ,518,,,518,,,20,10.1002/pssb.2220720125,
149,Si,517.8,,,517.8,,,56,http://photonics.intec.ugent.be/education/ivpv/res_handbook/v2ch36.pdf,
406,CdTe,167,,,139,,,27,10.1002/pssb.2220720125,
492,TiN,487,,,487,,,31,https://doi.org/10.1103/PhysRevB.17.111,
631,TiC,533.7,,,533.7,,,32,"L.Pintschovius, W.Reichardt, B.Scheerer, J.Phys. C 11, 1557 (1978).",
661,AlN (beta),901,,,655,,,99,https://doi.org/10.1007/978-3-642-13884-3,
665,SnSe2,"204, 248 ",,,"144, 241 ",,,19,https://doi.org/10.1103/PhysRevB.14.1663,
672,CdS (hex),"305, 600",,,240,,,58,"Nanoscale, 2016, 8, 17204–17212 | 17205",
682,NaF,1501,,,1645,,,87,"Stupka, A. (2014). Optical vibrations in alkali halide crystals. Canadian Journal of Physics, 92(11), pp.1356-1358.",
804,GaN,746,,,559,,,66,DOI:10.1364/OE.21.011715,
804,GaN (beta),740,,,555,,,100,https://doi.org/10.1007/978-3-642-13884-3,
820,HgSe,173,,,132,,,60,DOI:10.1364/OE.21.011715,
856,SnO2,643,,,624,,,49,"R.S.Katiyar, P.Dawson, M.M.Hargreave, G.R.Wilkinson, J.Phys. C 4, 2421 (1971)",
910,NbC,574,,,574,,,53,"H.G.Smith and W.Glase in: Phonons, ed. by M.A.Nusimovici (Flamarion, Paris 1971).","W.J.L.Buyers, G.Dolling, J.Sakurai, R.A.Cowley in: Neutron Inelastic Scattering, Vol.2 (IAEA Vienna 1968) p.123"
984,BN,"1305, 1285",,,"1054.7, 1000-1082",,,75,"Sanjurjo, J.A., Lopez-Cruz, E., Vogi, P., Cardona, M., Dependence on volume of the phonon frequencies and the ir effective charges of several III-V semiconductors. Phys. Rev. B28 (1983) 4579.",
984,BN (beta),1302,,,1063,,,98,https://doi.org/10.1007/978-3-642-13884-3,
1039,MgTe,270,,,160,,,64,DOI:10.1364/OE.21.011715,
1086,TaC,1334.3,,,1267.6,,,43,"M.Mostoller, Phys.Rev. B 5, 1314 (1975)",
1138,LiF,1929,,,2084,,,86,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
1143,Al2O3,388,,,385,,,69,Physical Review B Vol 61 no 12 15 march 2000-II,
1156,GaSb,240,,,231,,,23,10.1002/pssb.2220720127,
1170,SnS2,"314, 356 ",,,"205, 340 ",,,18,https://doi.org/10.1103/PhysRevB.14.1663,
1190,ZnSe,252,,,203,,,25,10.1002/pssb.2220720129,
1249,MgF2,"303, 415, 617, 625",,,"247, 410, 450, 399",,,38,https://doi.org/10.1103/PhysRev.154.522,
1282,VC,588.74,,,588.74,,,44,"L.Pintchovious, W.Reichardt, B.Scheerer, KFF-Report 2538 (1977) p.4.",
1342,BaO,433.6,,,144.43,,,73,"S.S.Chang, C.W.Tompson, E.Guerman, L.D.Muehlestein, J.Phys.Chem.Solids 36, 769 (1975)",
1550,AlP,500,,,439,,,102,https://doi.org/10.1007/978-3-642-13884-3,
1597,UO2,533.7,,,508.8,,,46,"G.Dolling R.A.Cowley, A.D.B.Woods, Can.J.Phys. 43, 1397 (1965).","R.A.Cowley and G.Dolling, Phys.Rev.167, 464 (1968)."
1865,UN,418.3,,,410.6,,,45,"G.Dolling, T.M.Holden, E.C.Svensson, W.J.L.Buyers, G.H.Lander in: Lattice Dynamics, ed. by M.Balkanski (Flamarion, Paris 1978) p.81",
1873,ZnF2,"227, 264, 498, 488",,,"173, 244, 380, 294",,,39,https://doi.org/10.1103/PhysRev.154.522,
